,AQI,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,100,73,97,37,1.73,56,38
2014-01,125,94,123,51,1.948,65,37
2014-02,184,148,155,56,2.171,69,42
2014-03,130,94,138,34,1.39,62,83
2014-04,127,89,145,16,0.927,57,129
2014-05,107,61,118,15,0.839,47,149
2014-06,116,54,74,6,0.79,39,168
2014-07,140,89,100,6,0.939,39,170
2014-08,120,62,88,5,0.839,43,172
2014-09,99,65,88,6,0.983,49,106
2014-10,154,118,148,9,1.339,70,54
2014-11,117,86,127,16,1.567,65,37
2014-12,86,58,95,28,1.552,53,42
2015-01,126,97,120,34,1.91,66,39
2015-02,127,93,114,26,1.457,51,60
2015-03,127,86,146,20,1.194,53,87
2015-04,107,71,118,9,0.76,43,124
2015-05,105,55,97,8,0.745,37,153
2015-06,111,60,70,6,1.303,35,156
2015-07,122,61,74,4,0.823,35,177
2015-08,104,45,66,3,0.79,31,159
2015-09,83,50,59,5,0.837,43,109
2015-10,106,74,86,6,0.955,55,74
2015-11,153,119,85,12,1.983,62,25
2015-12,187,152,172,20,2.865,76,26
2016-01,97,68,88,20,1.584,53,42
2016-02,71,44,59,15,0.903,35,68
2016-03,132,93,136,18,1.229,57,79
2016-04,106,69,118,10,0.803,44,116
2016-05,111,54,90,8,0.665,38,160
2016-06,126,59,70,5,0.767,35,183
2016-07,118,69,74,3,0.916,33,159
2016-08,94,47,60,3,0.832,35,135
2016-09,86,55,73,3,0.76,43,104
2016-10,116,85,101,4,1.155,56,47
2016-11,133,100,134,11,1.797,68,28
2016-12,168,133,159,17,2.51,80,28
2017-01,146,116,131,18,2.203,65,41
2017-02,100,71,84,18,1.318,53,65
2017-03,94,63,84,11,0.913,50,86
2017-04,87,53,104,7,0.693,48,101
2017-05,134,48,104,7,0.674,37,161
2017-06,125,42,75,6,0.783,38,184
2017-07,118,52,71,3,0.894,34,174
2017-08,85,38,56,3,0.803,35,131
2017-09,98,58,100,4,0.913,49,123
2017-10,84,57,63,3,0.923,46,47
2017-11,75,46,73,5,0.903,49,44
2017-12,81,44,68,8,1.09,49,25
2018-01,66,34,64,8,0.832,42,52
2018-02,81,50,72,10,0.861,34,76
2018-03,119,85,108,10,1.084,58,88
2018-04,105,64,116,7,0.743,41,125
2018-05,100,48,93,5,0.7,40,146
2018-06,123,48,74,4,0.803,35,183
2018-07,100,50,53,3,0.926,26,147
2018-08,93,35,51,3,0.861,28,145
2018-09,59,28,45,3,0.603,34,92
2018-10,74,41,62,4,0.71,45,70
2018-11,108,71,98,7,1.107,60,37
2018-12,75,40,81,7,0.871,46,41
2019-01,81,51,80,9,0.997,50,44
2019-02,80,53,72,6,0.807,35,65
2019-03,85,52,80,5,0.635,39,86
2019-04,84,48,91,4,0.547,34,103
